species,min_cells,max_cells,min_gonidia,max_gonidia,ref,p_germ_max,p_germ_min
Astrephomene_gubernaculifera,32.0,64.0,30.0,60.0,18,0.9375,0.9375
Astrephomene_perforata,32.0,64.0,30.0,62.0,34,0.96875,0.9375
Pleodorina_californica,32.0,128.0,16.0,85.0,25,0.6640625,0.5
Pleodorina_illinoisensis,16.0,32.0,12.0,28.0,"11,57",0.875,0.75
Pleodorina_indica,32.0,128.0,20.0,102.0,11,0.796875,0.625
Pleodorina_japonica,64.0,128.0,47.0,103.0,25,0.8046875,0.734375
Volvox_africanus,2300.0,13700.0,2.0,8.0,7,0.0005839416058394161,0.0008695652173913044
Volvox_aureus,1300.0,3200.0,4.0,12.0,7,0.00375,0.003076923076923077
Volvox_barberi,35000.0,47800.0,3.0,9.0,7,0.0001882845188284519,8.571428571428571e-05
Volvox_carteri_kawasakiensis,500.0,3000.0,8.0,30.0,23,0.01,0.016
Volvox_carteri_nagariensis,2000.0,8000.0,13.0,21.0,23,0.002625,0.0065
Volvox_carteri_weismannia,2000.0,7500.0,8.0,12.0,62,0.0016,0.004
Volvox_dissipatrix,14700.0,31800.0,4.0,10.0,7,0.00031446540880503143,0.00027210884353741496
Volvox_gigas,1000.0,3000.0,30.0,60.0,"7,56",0.02,0.03
Volvox_globator,8000.0,22000.0,3.0,17.0,7,0.0007727272727272727,0.000375
Volvox_obversus,2100.0,4000.0,5.0,8.0,7,0.002,0.002380952380952381
Volvox_rouseletii,14000.0,42000.0,1.0,16.0,7,0.00038095238095238096,7.142857142857143e-05
Volvox_tertius,500.0,2000.0,2.0,12.0,7,0.006,0.004
